subject,prop,time
11014.0,0.931,19
11014.0,0.965,19.15
11014.0,0.97,10.4
11014.0,0.959,10.45
11014.0,0.982,18.55
11014.0,1.0,17.3
11014.0,0.985,17.45
11014.0,0.956,15.1
11014.0,0.904,17.15
11014.0,0.983,9.5
11014.0,0.995,17.35
11014.0,0.974,17.4
11014.0,0.995,10.25
11014.0,0.991,18.1
11014.0,0.964,9.15
11014.0,0.93,17.2
11014.0,0.995,15.35
11014.0,0.954,14.25
11014.0,0.989,17.5
11014.0,0.941,14.1
11014.0,0.971,9.05
11014.0,0.947,15.4
11014.0,0.987,10.35
11014.0,0.981,14.45
11014.0,0.974,10.1
11014.0,0.987,18.4
11014.0,0.953,15.15
11014.0,0.986,14.15
11014.0,1.0,10.05
11014.0,0.986,14.3
11014.0,0.992,17.1
11014.0,0.992,16.4
11014.0,0.992,15.3
11014.0,0.992,13.15
11014.0,0.912,15
11014.0,0.952,13.25
11014.0,1.0,10.5
11014.0,0.974,18.45
11014.0,0.948,18.2
11014.0,0.981,18.25
11014.0,0.972,15.45
11014.0,0.971,14.35
11014.0,0.96,18.05
11014.0,1.0,15.55
11014.0,0.989,18.3
11014.0,0.927,16.5
11014.0,1.0,10.15
11014.0,0.977,14.4
11014.0,0.988,10
11014.0,0.977,9.1
11014.0,0.988,13.2
11014.0,0.964,13.3
11014.0,1.0,9
11014.0,0.913,15.2
11014.0,1.0,10.3
11014.0,0.972,17.05
11014.0,0.986,14.55
11014.0,0.943,15.5
11014.0,0.955,15.05
11014.0,0.859,16.05
11014.0,0.927,18
11014.0,0.882,14.2
11014.0,0.933,17.55
11014.0,0.904,15.25
11014.0,0.921,13.1
11014.0,1.0,9.55
11014.0,0.885,16.45
11014.0,1.0,16
11014.0,0.935,17
11014.0,0.931,14.5
11014.0,0.962,12.45
11014.0,0.923,12.55
11014.0,0.916,8.55
11014.0,0.909,18.35
11014.0,0.7,16.55
11014.0,1.0,13.35
11014.0,0.928,16.1
11014.0,0.615,10.2
11014.0,0.5,9.4
11014.0,0.75,14.05
11035.0,0.866,15.55
11035.0,0.998,9.5
11035.0,0.988,15.4
11035.0,0.978,12.3
11035.0,0.989,12.5
11035.0,0.951,16.15
11035.0,0.965,16.1
11035.0,0.988,12.25
11035.0,0.966,16.05
11035.0,0.99,15.45
11035.0,0.997,15.5
11035.0,0.995,8.2
11035.0,0.995,12.4
11035.0,0.997,16.25
11035.0,0.926,16
11035.0,0.987,9.45
11035.0,1.0,8.4
11035.0,0.984,12.35
11035.0,0.978,10.1
11035.0,0.983,12.45
11035.0,0.958,7.15
11035.0,0.991,13.1
11035.0,0.976,18.35
11035.0,0.955,18.25
11035.0,0.987,8.1
11035.0,0.975,18.4
11035.0,1.0,7.05
11035.0,0.99,8.05
11035.0,0.996,8.45
11035.0,0.987,7.1
11035.0,0.986,10.05
11035.0,0.99,18.45
11035.0,0.989,9.55
11035.0,0.979,13
11035.0,1.0,11.3
11035.0,0.996,17.15
11035.0,0.989,9.15
11035.0,0.992,18.3
11035.0,0.992,11.05
11035.0,0.996,17.35
11035.0,0.982,8.35
11035.0,0.974,8.5
11035.0,0.981,18.15
11035.0,0.984,6.15
11035.0,0.98,9.2
11035.0,0.964,11.15
11035.0,0.987,11.4
11035.0,0.987,11.25
11035.0,0.987,8.15
11035.0,1.0,7.2
11035.0,1.0,9.1
11035.0,0.991,13.3
11035.0,0.991,10.2
11035.0,0.987,10.25
11035.0,1.0,7.25
11035.0,0.96,9.05
11035.0,1.0,6.25
11035.0,1.0,8.25
11035.0,1.0,10
11035.0,0.995,18.2
11035.0,0.972,11.35
11035.0,0.99,12.05
11035.0,0.98,16.3
11035.0,0.99,16.45
11035.0,0.99,12.2
11035.0,0.99,7.3
11035.0,1.0,7.5
11035.0,0.98,11.1
11035.0,0.994,9.25
11035.0,1.0,13.4
11035.0,0.994,18
11035.0,0.979,10.55
11035.0,0.994,7.4
11035.0,0.968,12.15
11035.0,0.945,5.3
11035.0,1.0,13.05
11035.0,0.982,16.5
11035.0,0.988,16.4
11035.0,0.988,8
11035.0,0.993,12
11035.0,0.993,12.1
11035.0,0.981,8.55
11035.0,0.987,7.55
11035.0,0.981,16.2
11035.0,0.967,18.1
11035.0,1.0,8.3
11035.0,0.96,18.05
11035.0,0.937,17.4
11035.0,0.985,16.35
11035.0,0.977,11.2
11035.0,1.0,13.15
11035.0,0.984,17.45
11035.0,0.976,6.1
11035.0,0.976,11.55
11035.0,0.991,17.25
11035.0,0.975,17.05
11035.0,0.991,11
11035.0,0.966,17.2
11035.0,0.877,10.15
11035.0,0.99,6.35
11035.0,0.949,17
11035.0,1.0,9
11035.0,0.946,10.3
11035.0,0.988,11.5
11035.0,0.988,7.45
11035.0,0.942,6.2
11035.0,0.939,6.05
11035.0,0.974,13.45
11035.0,1.0,6.3
11035.0,0.973,17.55
11035.0,0.986,17.3
11035.0,1.0,10.5
11035.0,0.93,12.55
11035.0,0.985,7.35
11035.0,0.984,9.4
11035.0,1.0,9.3
11035.0,0.938,16.55
11035.0,0.983,11.45
11035.0,0.966,7
11035.0,0.913,17.5
11035.0,0.943,18.5
11035.0,0.96,13.35
11035.0,0.979,10.35
11035.0,1.0,6.4
11035.0,0.978,10.45
11035.0,0.956,13.2
11035.0,0.977,6
11035.0,0.767,15.35
11035.0,0.484,6.45
11035.0,0.937,6.55
11035.0,0.933,17.1
11035.0,0.642,5.5
11035.0,1.0,5.35
11035.0,0.666,5.55
11036.0,0.754,9.1
11036.0,0.817,10.1
11036.0,0.987,10
11036.0,0.997,11.35
11036.0,0.979,9.55
11036.0,0.986,18.5
11036.0,0.994,9.15
11036.0,0.986,9.05
11036.0,0.978,9.35
11036.0,0.977,10.4
11036.0,0.997,10.05
11036.0,0.934,11.4
11036.0,0.978,17.1
11036.0,0.981,9.45
11036.0,0.984,10.25
11036.0,0.993,9
11036.0,0.938,10.15
11036.0,0.948,8.15
