SUBJECT,hour_bin,unclean_total_awc,unclean_total_ctc,unclean_total_cvc,unclean_total_hrs,clean_total_awc,clean_total_ctc,clean_total_cvc,clean_total_hrs
266,18,1786,105,308,1,1786,105,308,1
266,19,1725,45,163,1,1725,45,146,0.8333333333333334
266,20,1264,5,7,0.8619444444444444,1223,5,7,0.6666666666666666
272,14,1046,22,100,1.0033333333333334,1046,22,90,0.8366666666666667
272,11,1626,46,105,0.6097222222222223,1626,46,105,0.6097222222222223
272,12,410,13,95,1,410,13,95,1
272,13,952,45,187,1,952,45,187,1
272,15,653,14,106,1,653,14,106,1
272,16,278,9,44,1,256,9,44,0.6666666666666666
272,17,375,12,91,1,375,12,74,0.75
272,18,418,26,138,1,418,26,122,0.5833333333333334
272,19,6,0,14,1,6,0,6,0.08333333333333333
272,20,13,0,9,1,13,0,7,0.16666666666666666
272,21,2378,30,55,1,2378,30,55,0.75
272,22,1527,26,73,1,1527,26,73,1
272,23,3665,38,65,0.7186111111111111,3665,38,65,0.7186111111111111
277,10,1778,27,55,0.7361111111111112,1778,27,55,0.7361111111111112
277,13,1361,70,448,1.0041666666666667,1361,70,448,1.0041666666666667
277,11,1224,33,178,1,1224,33,178,1
277,12,1183,35,180,1,1183,35,180,1
277,14,875,16,35,1,843,16,34,0.5833333333333334
277,15,523,9,26,1,480,8,24,0.75
277,16,347,0,2,1,347,0,2,1
277,17,117,0,2,0.32,117,0,2,0.32
279,15,50,1,4,1.003611111111111,49,1,1,0.003611111111111111
279,11,1061,32,275,1.7394444444444443,1061,32,275,1.7394444444444443
279,12,2015,52,291,2,2015,52,291,2
279,13,2960,72,254,2,2960,72,254,2
279,14,3492,14,31,1.4091666666666667,3465,12,22,0.9091666666666667
279,17,1124,23,71,1,1124,23,68,0.5833333333333334
279,18,420,8,24,0.29833333333333334,420,8,24,0.29833333333333334
282,11,37,0,0,0.0044444444444444444,37,0,0,0.0044444444444444444
282,9,511,11,39,0.6788888888888889,511,11,39,0.6788888888888889
282,10,731,23,84,0.8933333333333333,731,23,84,0.8933333333333333
282,12,129,0,18,0.6669444444444445,3,0,9,0.08361111111111111
282,13,1694,12,25,1,527,9,22,0.5
282,14,504,14,51,1,504,14,47,0.8333333333333334
282,15,205,5,28,1,205,5,23,0.6666666666666666
282,16,1118,25,90,1,1118,25,90,1
282,17,498,6,27,1,425,6,27,0.5
282,18,20,1,13,1,20,1,11,0.16666666666666666
282,19,829,19,82,1,829,19,82,1
282,20,805,22,83,0.9986111111111111,805,22,83,0.9986111111111111
283,9,1316,49,126,0.9844444444444445,1316,49,126,0.9844444444444445
283,10,1253,44,155,1,1253,44,155,0.8333333333333334
283,11,744,14,75,1,744,14,64,0.8333333333333334
283,12,221,8,65,1.0030555555555556,175,8,65,0.75
283,13,1798,32,73,1,1798,32,73,0.6666666666666666
283,14,2584,71,143,1,2584,71,143,1
283,15,2477,35,91,1,2477,35,91,1
283,16,1980,65,188,1,1980,65,188,1
283,17,860,11,52,1,860,11,52,1
283,18,620,27,76,1.5022222222222221,620,27,75,0.75
283,19,59,0,10,1.4102777777777777,59,0,10,0.4102777777777778
300,17,1793,95,343,1.0022222222222221,1793,95,343,1.0022222222222221
300,7,356,35,193,0.4825,356,35,193,0.4825
300,8,1980,143,356,1,1980,143,356,1
300,9,647,30,98,0.6158333333333333,607,29,96,0.5833333333333334
300,10,376,27,113,0.4247222222222222,376,27,113,0.4247222222222222
300,11,389,22,74,1,389,22,74,1
300,12,703,43,201,1,703,43,201,1
300,13,1142,22,64,1,1142,22,64,1
300,14,1763,63,207,1,1763,63,207,1
300,15,1075,53,181,0.6527777777777778,861,46,171,0.5833333333333334
300,16,1511,62,183,0.5908333333333333,1511,62,183,0.5908333333333333
300,18,1404,54,195,1,1404,54,195,1
300,19,394,19,58,0.25722222222222224,394,19,58,0.25722222222222224
302,12,252,8,113,1.0027777777777778,252,8,104,0.8361111111111111
302,16,3329,110,213,1.0144444444444445,3329,110,213,1.0144444444444445
302,17,2138,60,110,1.115,2138,60,110,1.115
302,18,44,9,20,0.050555555555555555,44,9,20,0.050555555555555555
302,15,606,30,82,0.45944444444444443,606,30,82,0.45944444444444443
302,10,569,21,51,0.33666666666666667,569,21,51,0.33666666666666667
302,11,934,53,230,1,934,53,230,1
302,13,0,0,0,0.008055555555555555,0,0,0,0.008055555555555555
304,17,23,0,0,0.0022222222222222222,23,0,0,0.0022222222222222222
304,8,501,12,53,0.22111111111111112,501,12,53,0.22111111111111112
304,9,2490,173,379,1,2490,173,379,1
304,10,2831,208,509,1,2831,208,509,1
304,11,2312,28,63,1,2312,28,63,0.5
304,12,825,54,197,1,825,54,197,0.75
304,13,952,59,201,1,952,59,201,1
304,14,1443,96,368,1,1443,96,368,1
304,15,1027,64,262,1,1027,64,262,1
304,16,345,31,124,0.24027777777777778,345,31,124,0.24027777777777778
308,16,1118,14,24,1.0030555555555556,1113,14,24,0.6697222222222222
308,10,187,11,16,0.13583333333333333,187,11,16,0.13583333333333333
308,11,1217,89,303,1,1217,89,303,1
