SUBJECT,AWC,hour
330.0,-1,1
330.0,-1,2
330.0,-1,3
330.0,-1,4
330.0,-1,5
330.0,-1,6
330.0,-1,7
330.0,-1,8
330.0,-1,9
330.0,-1,14
330.0,-1,15
330.0,-1,19
330.0,-1,20
330.0,-1,21
330.0,-1,22
330.0,-1,23
332.0,1267.0,15
332.0,658.0,16
332.0,605.0,11
332.0,586.0,9
332.0,484.0,10
332.0,394.0,13
332.0,327.0,14
332.0,-1,0
332.0,-1,1
332.0,-1,2
332.0,-1,3
332.0,-1,4
332.0,-1,5
332.0,-1,6
332.0,-1,7
332.0,-1,8
332.0,-1,12
332.0,-1,17
332.0,-1,18
332.0,-1,19
332.0,-1,20
332.0,-1,21
332.0,-1,22
332.0,-1,23
334.0,4379.0,20
334.0,2138.0,21
334.0,1523.0,15
334.0,1430.0,18
334.0,1237.0,19
334.0,951.0,23
334.0,771.0,16
334.0,765.0,22
334.0,656.0,17
334.0,545.0,0
334.0,232.0,14
334.0,-1,1
334.0,-1,2
334.0,-1,3
334.0,-1,4
334.0,-1,5
334.0,-1,6
334.0,-1,7
334.0,-1,8
334.0,-1,9
334.0,-1,10
334.0,-1,11
334.0,-1,12
334.0,-1,13
335.0,4049.0,11
335.0,3095.0,15
335.0,2297.0,12
335.0,1638.0,10
335.0,1430.0,19
335.0,1388.0,18
335.0,1348.0,17
335.0,1282.0,16
335.0,1096.0,20
335.0,842.0,13
335.0,808.0,9
335.0,461.0,14
335.0,-1,0
335.0,-1,1
335.0,-1,2
335.0,-1,3
335.0,-1,4
335.0,-1,5
335.0,-1,6
335.0,-1,7
335.0,-1,8
335.0,-1,21
335.0,-1,22
335.0,-1,23
336.0,1619.0,14
336.0,1143.0,15
336.0,904.0,18
336.0,636.0,17
336.0,393.0,16
336.0,239.0,21
336.0,202.0,11
336.0,96.0,13
336.0,88.0,20
336.0,-1,0
336.0,-1,1
336.0,-1,2
336.0,-1,3
336.0,-1,4
336.0,-1,5
336.0,-1,6
336.0,-1,7
336.0,-1,8
336.0,-1,9
336.0,-1,10
336.0,-1,12
336.0,-1,19
336.0,-1,22
336.0,-1,23
338.0,2838.0,11
338.0,1964.0,13
338.0,1931.0,16
338.0,1546.0,10
338.0,1479.0,15
338.0,1369.0,17
338.0,1207.0,19
338.0,1115.0,14
338.0,1114.0,12
338.0,604.0,20
338.0,337.0,18
338.0,267.0,9
338.0,-1,0
338.0,-1,1
338.0,-1,2
338.0,-1,3
338.0,-1,4
338.0,-1,5
338.0,-1,6
338.0,-1,7
338.0,-1,8
338.0,-1,21
338.0,-1,22
338.0,-1,23
344.0,369.0,15
344.0,318.0,13
344.0,300.0,19
344.0,261.0,7
344.0,247.0,14
344.0,215.0,8
344.0,-1,0
344.0,-1,1
344.0,-1,2
344.0,-1,3
344.0,-1,4
344.0,-1,5
344.0,-1,6
344.0,-1,9
344.0,-1,10
344.0,-1,11
344.0,-1,12
344.0,-1,16
344.0,-1,17
344.0,-1,18
344.0,-1,20
344.0,-1,21
344.0,-1,22
344.0,-1,23
345.0,142.0,23
345.0,139.0,22
345.0,-1,0
345.0,-1,1
345.0,-1,2
345.0,-1,3
